,Datetime,Text
101,2020-04-21 19:46:07+00:00,"The dept. said it released inmates with “non-violent” crimes & those who are near the end of their jail terms. I talked to domestic violence advocates who are concerned about the releases. The crime listed is the offenders “most serious crime,” but not all of their crimes. "
102,2020-04-20 13:39:28+00:00,"She deserves to go to jail, what s horrible dog mom"
103,2020-04-19 19:23:25+00:00,Send. Him. To. Jail. 
104,2020-04-19 12:07:50+00:00,It feels good to be out of Twitter Jail after serving my 3 day sentence. #Thankful
105,2020-04-15 03:34:40+00:00,"REPLY YOUR BETS. IM BETTING THROW YOUR PARENTS IN JAIL, KAMALA HARRIS."
106,2020-04-14 02:03:11+00:00,"I’ve been playing BitLife on my phone and one dude, I swear, roundhouse kicked THREE people TO DEATH and never went to jail."
107,2020-04-08 23:06:38+00:00,That’s what it sounds like. Insider trading jail time would be more appropriate.
108,2020-04-08 19:31:22+00:00,Lock them up! If the average person did this they would be in jail.
109,2020-04-05 05:58:28+00:00,I thought Kodak was in jail he speaking from the bars 
110,2020-04-05 00:51:01+00:00,Jail. Jail. Jail.
111,2020-04-04 16:14:32+00:00,Ingram if one person listens to you and dies because of your recklessness you should be held accountable. Tried for reckless endangerment and put. In jail
112,2020-04-03 19:25:16+00:00,Subpoena of a little twerp and if he doesn't show up put it in jail. He needs to testify under oath @NewYorkStateAG. Needs to open criminal investigations into the manipulations of the supplies by Jared
113,2020-04-03 17:48:02+00:00,"Jared and co. Should be put in jail for conflict of http://interest.Voting machines from China,Caskets from China,Testing kits from his brother ?No conflict there ?"
114,2020-04-03 11:47:41+00:00,Subpoena them and if they refuse arrest them. Anyone profiteering off the medical supplies and feeding this ever escalating costs should be put into jail and their companies disbanded. Wonder how many of Jared friends have their fingers in the pot? @RepAdamSchiff @RepJerryNadler
115,2020-04-02 12:24:22+00:00,Time for a nice Farm in the country with fruit trees a nice place to raise chickens. All those people in New York stacked on top of one another in multimillion-dollar jail cells without anywhere to go or to provide for themselves. I'll stick with the small place in the country 
116,2020-03-31 22:26:38+00:00,Reckless endangerment jail time for Falwell.
117,2020-03-31 18:54:45+00:00,High turnover in the Spokane County Jail is one of many reasons why local correctional officers are seriously concerned about a potential COVID-19 outbreak: https://www.inlander.com/spokane/in-the-already-overcrowded-spokane-county-jail-correctional-officers-are-bracing-for-covid-19-to-strike/Content?oid=19347964
118,2020-03-31 17:17:35+00:00,He deserves to be in jail for reckless endangerment.And if this person dies for manslaughter .
119,2020-03-30 12:19:40+00:00,This is just the beginning and I cannot imagine someone being confined in a jail or prison right now for low-level crimes. Many will have a death sentence 4 Petty crimes in America's for-profit prison system @StephMillerShow @rudepundit @RadioGuyChris @TheRealTBone @CoryBooker
120,2020-03-28 06:20:16+00:00,"Also hazard pay??? What is she???? It’s fine going to work everyday w risk of exposure (the crisis team goes to jail, hospital and community) but fuck us right?"
121,2020-03-27 02:14:53+00:00,You Trump should be in jail for murder
122,2020-03-26 17:38:56+00:00,Glad to see your approval rating in your state hasn’t changed from 18% for a year .Good bye Moscow Mitch hope to see you in jail one day!
123,2020-03-24 23:37:51+00:00,Practicing medicine without a license is illegal. Throw his ass in jail he killed one person and another is fighting for their life .
124,2020-03-23 23:12:55+00:00,Jail.
125,2020-03-23 17:38:52+00:00,Why isn't he in jail? 
126,2020-03-20 14:32:37+00:00,There’s a special place in hell for public officials/politicians who use their office to personally enrich themselves during a pandemic. Toss every last one of them in jail and throw away the key
127,2020-03-17 16:35:43+00:00,They should quarantine the asshole in the jail cell
128,2020-03-16 04:08:56+00:00,And I thought going back to jail would make me lose everything. Turns out staying out of jail is doing the same thing
129,2020-03-08 20:37:30+00:00,What an about face turn. I wouldn’t want her endorsement since she like to jail parents for truant kids 
130,2020-03-03 01:16:50+00:00,I loved the iraq war. I hate healthcare. I like a guy who put millions im jail with a crime bill. I love a guy that copied speeches from uk politicains in the 1980s and i love watching a guy slowly lose his mind. #GoJoeGo
131,2020-02-27 16:31:37+00:00,"SOMEBODY ABSOLUTELY """"HAS 2 GO TO JAIL NOW"""" (WE MUST CUFF??) They Say Over &amp; OverOver? """"The Shoe Fits? Wear It?"""" We Cant Keep Letting Them (Laugh &amp; Chuckle) At Us??? ""Thier Spitting in Our Faces"" &amp; (Laughing At America?) ? MUST BE ACCOUNTABILITY?? "
132,2020-02-21 03:39:44+00:00,This is how I get PUT IN JAIL AT 19:27 @Safeway https://www.instagram.com/p/B80F8BxFWdQ/?igshid=12tstrakk7e0k
133,2020-02-20 17:47:57+00:00,Maxine and her husband should be in jail...she shouldn't be in charge of the financial committee that's for sure! 
134,2020-02-20 01:34:10+00:00,"Correction: I misread the inmate roster. Ronnie Lacy (DV suspect) is still in jail. His brother, Lonnie Lacy, was released.... "
135,2020-02-16 03:01:27+00:00,All your needs will be met in jail
136,2020-02-16 02:03:36+00:00,Tell it to your celly when you go to jail
137,2020-02-12 21:05:31+00:00,"Police were able to grab those guns from his sister’s place. Today in court, the city asked that he be booked into jail because he was not in compliance. The presiding judge went against it, because Smith no longer had any firearms in his possession. #4NewsNow"
138,2020-02-12 00:10:12+00:00,he's not in jail. there's the payoff
139,2020-02-07 20:59:01+00:00,JAIL.. 
140,2020-01-28 04:53:51+00:00,If there was any TRUTH he would be gone with that mob family in jail 
141,2020-01-27 05:12:23+00:00,She should be in jail
142,2020-01-24 03:50:30+00:00,They are the worst ! They have taken our country down! That flint water. They should all be in JAIL. They put all those people' health in jeopardy. Their family's should be drinking the water cause it's still coming out of the taps. It has not been resolved 
143,2020-01-23 14:43:03+00:00,"Soulless humanoid runs free. Michelle Carter, convicted in texting suicide case, released from jail https://www.nbcnews.com/news/us-news/michelle-carter-convicted-texting-suicide-case-released-jail-n1120411 via @nbcnews"
144,2020-01-16 16:34:41+00:00,Jail awaits AG. Lock him up 
145,2020-01-11 03:14:05+00:00,Funny. You’ll see these names when we bail you out of jail.
146,2020-01-10 04:39:35+00:00,@Twitter you are a joke. Every single day the dip shit in the WH incites violence &amp; hatred &amp; you try to put me in Twitter jail for hoping he chokes on a chicken wing back in October?!? #puhlease #lame #DumpTrump
147,2020-01-08 00:11:44+00:00,Thank you for your endless efforts. Hope some day soon it will catch up to them and they go to jail 
148,2020-01-07 18:19:22+00:00," Michael Flynn should get up to 6 months in jail for lying to FBI, prosecutors say "
149,2020-01-07 14:53:48+00:00,Dirty b@$t@rd! Rot in jail.
150,2020-01-06 07:07:25+00:00,"Nothing is getting accomplished. No one held accountable , going to jail no one "
151,2020-01-02 18:49:55+00:00,The audacity of criminals like Trump and Netanyahu to demand acquittal or immunity for crimes they obviously committed.Because they KNOW they're guilty but don't want to go to jail.Hope Israel stands strong and drags him kicking and screaming to jail.Maybe share cell with Trump! 
152,2019-12-28 15:43:05+00:00,"OMG. Just saw Hillary's mug on TV again. Between destroying evidence and lying to Congress 6 times, why is that woman not in jail, or at least under indictment? Equal justice for all? Oya!"
153,2019-12-20 21:41:03+00:00,“Have a Merry Christmas. And a happy New Year ... in Twitter jail.” -Mr. Potter’s great grandson
154,2019-12-20 16:59:27+00:00,"Jail video surveillance from Jeffrey Epstein's first suicide attempt in July is missing, lawyer says "
155,2019-12-13 17:22:04+00:00,"I agree. If he resigns, he'll be facing sealed indictments, trials & jail time. So I think he'll try to hang onto his ""job"" &amp; drag this out for as long as possible. It's all about Him. He doesn't care about doing any good deeds for our Country. It's about $. Mr. Untouchable."
156,2019-12-12 23:54:25+00:00,"@realDonaldTrump looser! Picking on a younger one @GretaThunberg. Get ready for your time out, in jail! "
157,2019-12-07 02:02:08+00:00,Hanoi Jane should be in jail for treason. She’s an anti-American bitch. 
158,2019-12-06 02:40:32+00:00,He's such a chickenshit he couldn't stand being in jail for even one day. He'll cut and run.
159,2019-12-06 00:53:20+00:00,"And Kerry is unique because he testified before congress and called his fellow soldiers baby killers. I know, I was in Vietnam when he did that. He’s traitorous prick. Should be in jail with Hanoi Jane Fonda. "
160,2019-12-03 02:32:01+00:00,"Wait this can’t possibly be the same IG report all the #MAGA &amp; #Trump2020 folks have been telling us would be so damning Obama, HRC and anyone associated with them would immediately be carted off to jail, could it?"
161,2019-11-29 17:05:29+00:00,"It’s a WOMAN! Can you believe it??? A woman is stalking me. She isn’t in custody at the county jail, (I keep checking) but she may be in in-patient at the psych ward."
162,2019-11-26 17:44:49+00:00,"@HighImpactFlix So if someone punches me, instead of just fighting back, I can go and get my dog , sick it on them and then proceed to beat the shit out of them? Something tells me that I would be going to jail. Special uniforms grant special rights."
163,2019-11-20 18:49:29+00:00,@neal_katyal How can Repubs continue to defy subpoena with out jail?
164,2019-11-20 13:04:42+00:00,BRING ON THE SENATE!!! BRING OUT THE I.G. FISA!!! BRING DEEP STATE PERPS! PROSECUTE THE CABAL!!! TIME FOR A BOOMARANG! LOCK UP THE HOAXERS!!!! & PUT TRAITORS IN JAIL!!! THEY TRIED TO DESTROY? OUR GREAT PRESIDENT??? BUT NOW SOON IT WILL BE THEM DESTROYED!!!!!! GOOD WINS! 
165,2019-11-19 14:35:38+00:00,I like this too. Even more than the last one… Julian is going to jail. 
166,2019-11-17 21:26:35+00:00,It’s because dad is going to jail!
167,2019-11-16 04:31:57+00:00,So should nfl players be charged with crimes for playing the brutal game? Did you see the qbs reaction to being hit with the helmet? He jumped up like a school girl I don’t think it was anything but a graze. You shouldprobably be in jail for all sorts of things like driving drunk
168,2019-11-12 00:15:26+00:00,"I’m with Coach Leach. The things I would do to wipe away my student loans... YA three months in jail, I’d do it. Lock me up. "
169,2019-11-04 19:09:51+00:00,"Agree.The time for verbal and twitter reprimand is over. Trump delites in chaos.Those who ignore,defy Congressional subpoenas should be held accountable thru huge fines,holding up pay,and/or jail.Dems show some backbone or we will lose it all. "
170,2019-11-04 06:00:14+00:00,IS THIS TRUE?? WHY ISNT SCHIFF? IN JAIL OR ISNT? IMPEACHED? FOR CRIMINAL FELONIES????? 
171,2019-11-02 18:31:26+00:00,"Isn't this illegal?Another item to add to impeachment http://list.AG Barr needs to be dealt with,as well.I know Congress must be overwhelmed,especially since the Senate isn't doing their job.But please,take steps to hold him accountable,censor,fine,impeach,indict, jail. "
172,2019-11-01 23:53:54+00:00,"“Change of plans, were not going to the concert, WERE GOING TO JAIL”"
173,2019-10-30 05:43:24+00:00,Aide needs to go to jail
174,2019-10-29 14:08:13+00:00,Exactly your class meaning middle class which today doesn't exist. If you are poor and go to jail your life is ruined. This must change. 
175,2019-10-28 23:49:44+00:00,PrezDT had to release all the Terrorists out of jail to catch one! COME ON! Classic strategy!! 
176,2019-10-25 03:18:50+00:00,"“And if R. Kelly goes to jail, I’ll piss on yo cat” "
177,2019-10-22 17:48:32+00:00,Realty Winner is a whistleblower who warned America that Russia hacked our voting rolls. Why is she in jail? Why are whistleblowers punished for revealing the truth and the criminals go free? https://www.inquirer.com/philly/columnists/will_bunch/free-reality-winner-whistleblower-american-hero-20180724.html?__vfz=medium%3Dsharebar via @phillyinquirer
178,2019-10-21 22:49:51+00:00,"Tonight at 6: I sit down in the Spokane County Jail exclusively with DeSean Weeks, the man accused of hitting and killing a man on a Lime scooter in North Spokane earlier this month. Here is a small part of our interview. @KHQLocalNews – at Spokane County Jail"
179,2019-10-18 16:44:57+00:00,"Really, you aloud terrorists to get out of jail...."
180,2019-10-17 04:08:58+00:00,Vote for Beggs. Jail is not the answer. 
181,2019-10-17 00:11:41+00:00,"I have NEVER said that. I’ve suggested those who are facing charges (drugs, theft, etc) be given the option of treatment, instead of jail!"
182,2019-10-16 17:18:33+00:00,"I’ll never forget in elementary school a kid put broken glass on my chair to see if I’d sit on it. Bradley, you’re fucking evil & I have a feeling you’re in jail now."
183,2019-10-16 01:49:51+00:00,The candidates are now taking questions from the audience ranging from the arts and climate change to the jail and border patrol sweeps at the intermodal center. @KHQLocalNews – at Bing Crosby Theater
184,2019-10-12 03:24:38+00:00,gotta get jail clearance for my job!!
185,2019-10-12 02:44:44+00:00,"Yea, like bernie, not someone that fully supported throwing people in jail for weed amd poor parents for kids missing school. Yea shes womderfuckingful. "
186,2019-10-11 15:58:45+00:00,spokane county jail is playing low rider in the lobby... which for some reason i find odd.
187,2019-10-10 22:07:49+00:00,Its a jail not a fucking shelter 
188,2019-10-09 15:35:32+00:00,"OBAMA IS BEHIND IT ALL? WATCH A FORMER U.S.A.? PRESIDENT?? BE JAILED?? FOR TREASON? OBSTRUCTION & FOR A """"U.S. ELECTION COU"""" REMEMBER THE SAYING? """"NOTHING HAPPENS?"""" WITHOUT THE PRESIDENT KNOWING!! &amp; ORDERING!!!!! (JAIL OR PRISON) NOW!!!! """"CUFFS &amp; PERPWALKS"""" SOON??? "
189,2019-10-07 19:39:39+00:00,Would love to see him thrown in jail. 
